created_at,text,favorites,retweets,in_reply_to
2017-03-31 05:58:39,✌🏾 https://t.co/wsExMrhpTn,54,11,
2017-03-31 05:57:47,RT @zoemadonsela: @FirstAvenueSA ayibo you guys the lecture hall is on fire...the mix you just played Unathi....can I have it pls 🎵🎶💃,0,1,
2017-03-31 05:41:19,"RT @__Amogxlang: @FirstAvenueSA 😂😂😂 in the mean time 🎉🎉🎉 , it's Friday !!!! @METROFMSA cc @unathimsengana",0,1,
2017-03-31 05:41:16,"RT @NeoentleLebogo_: I lose my sense of self-worth, self-dignity n morals every time I hear this song 💃💃💃 HEBAAAAARE!! @unathimsengana @Fir…",0,1,
2017-03-31 05:41:14,RT @refilwe_katso: @FirstAvenueSA Sister Bettina on full blast in my car. Thank you for making my day.,0,1,
2017-03-31 05:41:11,RT @WandileMzila: @FirstAvenueSA @unathimsengana made my weekend with the Mgarimbe's hit track...took me way back,0,1,
2017-03-31 05:11:12,RT @AnastasiaStash: @FirstAvenueSA @PS_DJz What a mixxxx!! Thanks for making the Friday a gud 1,0,1,
2017-03-31 05:11:10,RT @segobo_molefi: @FirstAvenueSA @PS_DJz #eazy top mix awuuuuuu,0,1,
2017-03-31 04:53:11,It's @PS_DJz https://t.co/dIe2kzsd7D,2,1,
2017-03-31 04:47:48,RT @itu_themaster: Loving  the mix and @FirstAvenueSA @MelBala @unathimsengana @owenhannie  @METROFMSA,0,1,
2017-03-31 04:39:38,"Awooooooo @PS_DJz is bringing you a 🔥 hip-hop #EasyFriday mix, right now!",2,1,
2017-03-31 04:04:49,RT @amukelanibl: @FirstAvenueSA @DjKellsa beautiful mix indeed. #EasyFridayMix 🙌🙌🙌,0,1,
2017-03-31 03:35:50,It's time for @DjKellsa #EasyFriday 🎧,1,0,
2017-03-30 05:42:33,RT @LeanneManas: It does feel good to hope doesn't it @JJ_UFS ? Love love this! ❤️ https://t.co/sxBX5IzT1k,0,622,
2017-03-30 05:20:07,"RT @ERamasela: What I gather from the stories being told regarding office bullying on @FirstAvenueSA , HR depts really SUCK!",0,1,
2017-03-30 04:48:05,"RT @nolomots: My commander is a bully,she makes going to work feel like a funeral.Even in the SAPS this is not addressed. @unathimsengana @…",0,1,
2017-03-30 04:47:51,"RT @neoruthm: @FirstAvenueSA @unathimsengana all I can say is there is us and them at work.us are trouble makers., them angels from heaven",0,1,
2017-03-30 03:54:34,"RT @mix_maestroedj: @MelBala @FirstAvenueSA @unathimsengana @owenhannie pliz pliz, replay tht clip of 2dae's triple shot, klassic 😂😂😂😂😎",0,1,
2017-03-30 03:46:43,Mpho and Allen 😂😂😂 #TripleShotQuiz,1,0,
2017-03-28 05:59:55,"...We don't even cry
We don't even cry about it
know it no more
are the beautiful ones really dead?"" 
@thandiswamazwai #AhmedKathrada",1,2,FirstAvenueSA
2017-03-28 05:59:27,"""The world changes
Revolutionaries die
And the children forget
the Ghetto is our first love
And our dreams are
drenched in gold...",11,6,
2017-03-28 05:50:26,"RT @japhta_latigra: @unathimsengana @MelBala @FirstAvenueSA 
Nicely said there Sis Unathi. U are a criminal when share child photography.",0,2,
2017-03-28 05:21:41,"The book ""Conversations With A Gentle Soul"" is available nationwide. #AhmedKathrada",2,1,
2017-03-28 05:20:22,"Paying tribute to the life of Ahmed Kathrada on his passing. Speaking to Sahm Venter, who he co-authored a book with earlier this year.",1,2,
2017-03-28 05:10:45,RT @Lisa_meljoseph: Boom Boom Boom YASSS @FirstAvenueSA It's about time,0,1,
2017-03-28 05:10:43,RT @refilwe_katso: @FirstAvenueSA Mshoza's Abantu Bam gives me life.....,0,1,
2017-03-28 04:01:06,Sad news this morning: #RIPAhmedKathrada https://t.co/Ngl9hbGi6Z,0,2,
2017-03-28 03:35:56,RT @Kaiso_M: @FirstAvenueSA some voices will just sooth one's soul...  Thanks for that viva song.,0,1,
2017-03-28 03:35:53,"RT @Bulziee: @FirstAvenueSA morning  family, have a lekker Choosedae vaa😉👍👌",0,1,
2017-03-28 03:24:05,RT @lindidn: @FirstAvenueSA Thank you Lord......They are back. Missed U😗,0,1,
2017-03-27 05:34:01,.@AdilOnAir &amp; @LootLove are standing in this morning 🙂 https://t.co/Tb4R5Dwbgj,2,0,
2017-03-27 05:33:27,RT @D_n3O: Was gonna say scap it but making it an option is good. I dont think it did anything for me when i did shakespear @MelBala @First…,0,2,
2017-03-27 05:02:13,"RT @LeratoRSA: Mara @AdilOnAir if we struggle with Taxi Maths,accounting will just murder us Yhoo @LootLove @FirstAvenueSA",0,2,
2017-03-27 04:19:13,RT @Mindlos84: @LootLove this mighty be the reason I extend my marriage with @FirstAvenueSA,0,1,
2017-03-27 03:33:44,RT @soulful_30497: @FirstAvenueSA GMSA. Beautiful music to wake up. Hope you ball uave a good week😎,0,1,
2017-03-27 03:23:14,RT @sentlhane: Hey @LootLove ❤😍💜 https://t.co/mLRH21iO0i,0,1,
2017-03-27 03:18:07,Good morning! @AdilOnAir and @LootLove are holding it down for us on this Monday. Let's. 🌞,1,2,
2017-03-24 05:19:41,RT @poetmastermind: Family great show again as you usher us to the weekend  @unathimsengana @MelBala @GlenLewisSA @FirstAvenueSA @METROFMSA,0,2,
2017-03-24 05:00:58,RT @Lutherdaboss: @FirstAvenueSA hip hop mix ekseni omg this dj needs a bell's,0,1,
2017-03-24 04:48:47,.@StankyDeeJay_SA OMG 😋🎧,2,1,
2017-03-24 04:45:58,RT @bk_kokie: Moloko - Sing It Back 💃💃 @FirstAvenueSA @unathimsengana @MelBala,0,1,
2017-03-24 03:51:21,👏🏾👏🏾👏🏾 Infinite Boyz!!! 🎧,3,1,
2017-03-24 03:17:33,"It's Fri-yay! Lots of mixes, fun and info coming your way. #EasyFriday",1,1,
2017-03-23 06:11:42,"RT @NeoentleLebogo_: My niece was raped wen she was 5 yrs by two unknown men. Til today, we don't know the suspects @FirstAvenueSA @unathim…",0,1,
2017-03-23 06:11:30,"RT @neoruthm: @FirstAvenueSA it doesnt matter how many you have had, nobody has the right to touch you  @katlego you are a survivor and you…",0,1,
2017-03-23 06:11:23,RT @kaluvalo: @unathimsengana @FirstAvenueSA we should be angry with our peers who continue to tarnish our name and violate women and child…,0,1,
2017-03-23 05:26:22,Thank you! 🙏🏾 https://t.co/9PgLZ3YlRE,4,1,
2017-03-23 05:08:19,RT @nonkem: @EncoreOriginal @FirstAvenueSA but these guys tho. You gonna make it big one day,0,2,
2017-03-23 04:59:31,"RT @ExcellentMkhont: Oh man what a great rendition,acoustic medley by my fave @EncoreOriginal on @FirstAvenueSA @MelBala @unathimsengana #B…",0,2,
2017-03-23 04:59:27,"RT @hollymaster70: @firstavenuesa @encoreoriginal signed,sealed and delivered",0,1,
2017-03-23 04:56:56,RT @Tebo0514: @FirstAvenueSA  wow Encore so beautiful 😍 @EncoreOriginal,0,2,
2017-03-23 04:55:01,"They came, they played, they slayed. @EncoreOriginal https://t.co/CjhbltZ6l1",33,4,
2017-03-23 04:52:00,RT @Steviee93: Yho but @MelBala @unathimsengana that guy's voice though!😕😕 Wow! 👏👏 People are gifted outchea @FirstAvenueSA Damn!!😢😢😍,0,2,
2017-03-23 04:51:00,An amazing acoustic medley of songs by @EncoreOriginal on this morning's #1stAve #BlockParty #HumanRightsDay 👏🏾👏🏾👏🏾 https://t.co/8GJc2OGduK,36,16,
2017-03-23 04:50:50,RT @nthabieve85: 💃💃💃 the vocals though... @unathimsengana @MelBala great selection for our block party https://t.co/O8qMnVjHT5,0,1,
2017-03-23 04:50:46,RT @joesterkuna: Encore live on #MetroFM one of the best and talented group @FirstAvenueSA 🙌🏾🙌🏾👏🏾👏🏾,0,1,
2017-03-23 04:50:42,RT @neoruthm: @FirstAvenueSA ke fela pelo its close to my heart @EncoreOriginal  you never disappoint....,0,2,
2017-03-23 04:50:31,RT @PataPata40: @FirstAvenueSA Encor Made it in LiFe.,0,1,
2017-03-23 04:47:15,It's @EncoreOriginal live in studio #1stAve #BlockParty #HumanRightsDay 🎤🎸 https://t.co/ughymNquT0,25,8,
2017-03-23 04:41:33,RT @nthabieve85: @FirstAvenueSA i love this group encore... 💃💃💃 @unathimsengana ke fela pelo means i cant wait!!,0,2,
2017-03-23 04:22:37,"Coming up after traffic, news &amp; sport: #1stAve #HumanRightsDay #BlockParty with Encore! 🎶",3,0,
2017-03-23 03:32:32,RT @zola_hashatsi: Its your jam BAAAAYYBBBBBEE back announce daai deng. Its @METROFMSA  @FirstAvenueSA and that's @unathimsengana with you…,0,1,
2017-03-22 05:58:17,RT @NDUMISOMKHABELA: @FirstAvenueSA I was 12yrs wen 2 white boys told me I must not come to the park because its for whites no blacks here…,0,3,
2017-03-22 05:52:32,RT @ShaiDotcom34: @FirstAvenueSA @MelBala i was 8 when my sister talking to my mom that students at RAU university threw eggs at them. She…,0,1,
2017-03-22 05:49:16,"RT @Thabisile84: @FirstAvenueSA I was 5. They had just announced that Mandela was being released from jail. I asked my dad ""do white people…",0,2,
2017-03-22 05:49:13,RT @itu_themaster: I was 11 years old when I first interact with racism. @FirstAvenueSA @MelBala . It was at school I was bullied by a teac…,0,1,
2017-03-22 05:48:59,"RT @BlaiseingB: @FirstAvenueSA I was about 8 in Soshanguve when a ""hippo"" as we called them came by&amp;started teargasing streets.My mum had 2…",0,2,
2017-03-22 05:39:33,"RT @realmiss_msi: @FirstAvenueSA I was 10, corned by this girl my age on my way home and she said she hates Bantus. She shoved me a couple…",0,1,
2017-03-22 05:32:40,How old were you when you became aware of #racism? Was it a moment or a slow realization? Call 0891103377 or tweet us.,1,1,
2017-03-22 05:09:25,Thanks to the soulful @AmandaBlackSA for blessing us this morning! 🙏🏾 https://t.co/uzqa6H58rn,195,21,
2017-03-22 05:03:43,RT @Ezasembo: @FirstAvenueSA @AmandaBlackSA OMG. Good morning and Thank you. MaMfene 👑,0,2,
2017-03-22 05:03:38,RT @lady_S4Downs: @FirstAvenueSA Woooow @AmandaBlackSA what an amazing perfomance...mara why khalisa @unathimsengana ekuseni kangaka.,0,1,
2017-03-22 05:03:35,RT @TheReal_Yam: Trust @FirstAvenueSA  To Always Bring It !!! @AmandaBlackSA  Just Killing It 😇😇😇,0,1,
2017-03-22 05:03:32,"RT @nwabisa_mak: Waking up to @AmandaBlackSA! So, so sooo powerful! Birthday MADE! Thank you @FirstAvenueSA! 
❤",0,2,
2017-03-22 05:02:24,RT @Mcnady: Vuleka Amazulu mtase khaya livumile iqamakuu @AmandaBlackSA wuuuuuu shem @unathimsengana u so emotional ❤❤❤😍😍😍🔥🙌🙌🔥 @FirstAvenue…,0,1,
2017-03-22 05:02:10,RT @kabelo1894: @FirstAvenueSA God no words.What a performance Jesus,0,1,
2017-03-22 05:01:37,RT @IM_KGAU: @FirstAvenueSA this @AmandaBlackSA block party is on another level wow,0,1,
2017-03-22 05:01:34,RT @PetrosMbuduma: @AmandablackSA woow what a talented woman you have on Studio @FirstAvenueSA @unathimsengana @GlenLewisSA @MelBala @owenh…,0,1,
2017-03-22 04:56:04,"RT @amukelanibl: Wow! @AmandaBlackSA What a beautiful, amazing &amp; powerful performance. @FirstAvenueSA #MetroFM 😇😇😇 👏👏👏",0,2,
2017-03-22 04:55:47,RT @sweetnene_: Wow @AmandaBlackSA Black @FirstAvenueSA amazing,0,1,
2017-03-22 04:55:44,RT @Nomatselele: @AmandaBlackSA  that voice is sooooo pure and angelic. No vayi vayi or funny gimmicks. AWUNANTANGA shame @FirstAvenueSA  t…,0,3,
2017-03-22 04:55:40,RT @MandyNgcece: This chick is really talented! @unathimsengana You'll not say she's live. Well done ghel😊. #BlockParty on @FirstAvenueSA,0,2,
2017-03-22 04:53:28,RT @Pussem23: Golden voice loving this block party this morning @FirstAvenueSA ndicumile from ear to ear thanks @AmandaBlackSA,0,1,
2017-03-22 04:53:25,RT @Mcnady: @AmandaBlackSA u killing @FirstAvenueSA block party @METROFMSA with @unathimsengana  &amp; @MelBala  ....u deserve a wuuuh shem han…,0,1,
2017-03-22 04:53:22,RT @Lisa_meljoseph: @AmandaBlackSA YASSSSSS! @FirstAvenueSA 👏👏👏,0,1,
2017-03-22 04:52:38,😍😍😍 @AmandaBlackSA #HumanRightsDay #1stAve #BlockParty https://t.co/tofv2yaWwf,60,28,
2017-03-22 04:48:27,RT @Kgaugelo_kay: Tuning in to @AmandaBlackSA @FirstAvenueSA,0,1,
