created_at,text,favorites,retweets,in_reply_to
2019-11-06 02:55:27,Just posted a photo https://t.co/9nUqZrmF35,0,0,
2019-10-31 18:38:43,Just posted a photo https://t.co/uTkoMErPY7,0,0,
2019-10-22 19:16:24,📣📣📣 https://t.co/aBDFaHJUN6,0,0,
2019-08-17 21:20:25,Just posted a photo https://t.co/R7Xt6USJCq,0,0,
2019-07-29 05:12:49,Friends For Life👊👊👊 https://t.co/CTslf7aC3M,0,0,
2019-07-21 19:09:39,Banna!!! https://t.co/vQcq7phdAP,0,0,
2019-07-16 20:12:12,Goodnight All https://t.co/nYEldRnCke,0,0,
2019-07-08 20:20:23,Just posted a video https://t.co/CRDqL6nU8u,0,0,
2019-06-20 20:19:34,Good night all @ Gauteng https://t.co/fCHGsWSEKI,0,0,
2019-06-08 21:04:47,"Let us get sloshed🍻🔥🔥🔥 @ Hyde Park, Gauteng, South Africa https://t.co/yVsinDO6KN",0,0,
2019-06-06 16:29:28,Just posted a photo https://t.co/CpXUAtwqUV,0,0,
2019-06-04 20:54:55,Why? https://t.co/z6TQtcabkk,0,0,
2019-05-12 15:35:26,Love neh..... https://t.co/F3guLh9CQ3,0,0,
2019-05-10 18:31:35,Ya neh.... https://t.co/uRW9rrjZCT,0,0,
2019-05-07 19:20:07,Just posted a photo https://t.co/dTXbXtISS2,0,0,
2019-04-26 18:14:50,Just posted a photo https://t.co/OQ0h3vTn1e,0,0,
2019-04-15 03:08:14,Have a great week all.... https://t.co/jqlvBVZzXN,0,0,
2019-04-13 05:43:46,Just posted a photo https://t.co/gf3PpJIA9k,0,0,
2019-04-11 18:10:49,Talking to you... https://t.co/QgzOduu8QX,0,0,
2019-04-05 05:20:10,Talking To You.... https://t.co/nHjXtemwnN,0,0,
2019-04-04 05:47:31,Morning All.... https://t.co/35Uh5I9tKG,0,0,
2019-04-03 17:02:06,Brothers For Life..... https://t.co/OIDuxm1S3X,0,0,
2019-03-30 18:31:10,Talking to you.... https://t.co/7kfWNYzLt5,0,0,
2019-03-29 13:23:59,Happy born date to my lovely and beautiful sister.💕💖💗🍰🍾🎁🎂 https://t.co/O9qljdaiGL,0,0,
2019-03-27 19:35:39,"Sad Truth @ Hyde Park, Gauteng, South Africa https://t.co/ahGxTu65K8",0,0,
2019-03-26 18:17:58,This Commentator 😂😂😂😂😂😂 https://t.co/SuQQ0Adbiw,0,0,
2019-03-25 06:53:40,Just posted a photo https://t.co/LplPGevImf,0,0,
2019-03-19 11:58:03,Just posted a photo https://t.co/VmRMdZVmm7,0,0,
2019-03-17 17:29:13,Neh! https://t.co/MQYyn2mmOd,0,0,
2019-03-15 19:13:04,Don't shoot the messenger.... https://t.co/nqkFgRxYA6,0,0,
2019-03-14 19:36:02,Just posted a photo https://t.co/Lb14YscM4Y,0,0,
2019-03-05 07:45:10,Just posted a photo https://t.co/Jsi7KrkAzt,0,0,
2019-03-04 03:58:00,Morning All..... https://t.co/EOlShjUjSZ,0,0,
2019-03-02 17:34:51,Just posted a photo https://t.co/EWrK24zyEL,0,0,
2019-02-27 18:58:55,Just posted a photo https://t.co/eB51W4vvET,0,0,
2019-02-19 17:40:45,Just posted a photo https://t.co/P054T8XZK0,0,0,
2019-02-17 19:09:49,Just posted a photo https://t.co/bXItHdoJqw,0,0,
2019-02-16 17:34:59,Me trying to lose weight 😂😂😭😭 https://t.co/7golLA9g7E,0,0,
2019-02-12 18:20:31,Only God Knows https://t.co/IodKWMhuhh,0,0,
2019-02-09 06:11:07,Khosi for life https://t.co/ia12ZuRscH,0,0,
2019-02-06 20:18:47,Just posted a photo https://t.co/GbvnSSV5s4,0,0,
2019-02-03 17:13:34,Sad Truth https://t.co/R5PTkwxKpM,0,0,
2019-02-02 06:34:41,Bushiri followers go and visit your papa https://t.co/y0bSYFbfst,0,0,
2019-01-22 12:24:32,Just posted a photo https://t.co/bNIm9Xyvlc,0,0,
2019-01-20 18:48:10,#letthemtalk https://t.co/ggxrtOlmRe,0,0,
2019-01-19 18:42:24,I miss you my beer😍😍😍😍 https://t.co/ckJJcBMVNW,0,0,
2019-01-16 03:35:45,Good Morning All https://t.co/pAVc7gf1nI,0,0,
2019-01-15 19:10:56,Just posted a photo https://t.co/CLxXNCS8Rr,0,0,
2019-01-15 15:25:30,Just posted a photo https://t.co/5o2DTDFSgG,0,0,
2019-01-13 06:33:18,Ooh well...... https://t.co/RDoBcuWtgl,0,0,
2019-01-09 06:02:44,My sons😍😍 https://t.co/qrjhffDbQ7,0,0,
2019-01-07 04:51:16,January eish!!!! https://t.co/qXgoFWZibI,0,0,
2019-01-06 20:37:53,Like father like sons https://t.co/ciw173H4Xm,0,0,
2018-12-28 16:07:20,Just posted a photo https://t.co/4zpnMxMrqF,0,0,
2018-12-20 18:51:58,Just posted a video https://t.co/2L44P8xhZZ,0,0,
2018-12-17 17:03:44,Be true to yourself.... https://t.co/cMoUwbp5H1,0,0,
2018-12-14 12:20:01,Loading 2019 https://t.co/RhmhQrbmYZ,0,0,
2018-12-08 20:02:29,Just posted a video https://t.co/zW3kaRwTi5,0,0,
2018-12-08 19:05:02,Sorry neh... https://t.co/mM6Nszl4Zc,0,0,
2018-12-08 04:03:51,Patience..... https://t.co/6NCOJJxGoy,0,0,
2018-12-07 13:19:39,Buffering..... https://t.co/p4aTwcUy7L,0,0,
2018-12-05 18:17:29,Just posted a photo https://t.co/NNp0JUmreH,0,0,
2018-12-02 08:29:45,Good Morning https://t.co/80LUPffddU,0,0,
2018-11-30 15:15:11,Just posted a photo https://t.co/9SU6VvLdBp,0,0,
2017-07-21 13:59:58,RT @DJFreshSA: MOOD: https://t.co/fzG8KfLxj3,0,151,
2017-07-20 20:31:29,I'm back!!!!,0,0,
2017-05-31 19:20:11,Arsenal problem!!!! https://t.co/r88jm5K5Oq,0,0,
