created_at,text,favorites,retweets,in_reply_to
2019-12-29 07:32:29,RT @DjMaphorisa: I Found him 👀!!! 50k retweets and i Drop the 🔥🔥🔥  https://t.co/KoFqztYTF9,0,53668,
2019-12-09 18:15:54,#flooding 😂🤣 the coincidence https://t.co/gk0bzQqRli,3,1,
2019-12-05 19:57:37,@andaThebed 😂😂 Bro your crush should be ashamed also,1,0,andaThebed
2019-12-05 05:43:40,@Julius_S_Malema @EFFSouthAfrica But u nolonger talk about land issue like u use to... What happened? https://t.co/ZAVn1yYgaV,0,0,Julius_S_Malema
2019-12-01 08:01:24,@SamJuniorMbatha @theNWU and later that night 🤣 https://t.co/wa7cjDPMwK,0,0,SamJuniorMbatha
2019-12-01 07:58:31,@LinDough_SA 😂😂😂Where is rasta when we need him the most,0,0,LinDough_SA
2019-11-26 07:31:37,@AdvBarryRoux @CapitecBankSA Who received miracle money in my congregation? https://t.co/f58icmqtp3,0,0,AdvBarryRoux
2019-11-05 16:54:09,@danielmarven @MrumaDrive 😂😂😂 in my head i have this image of this 2 swop the hairstyle 😅😅. Please help my imagination,0,0,danielmarven
2019-10-30 15:39:55,@eNCA 😂😂1 quantrillion,0,0,eNCA
2019-10-29 18:54:55,@missZwanga 🍆 Save ua and say it's 🍆,0,0,missZwanga
2019-10-29 17:33:43,#unemployment on the other side https://t.co/9VwbvfY1zl,2,1,
2019-10-29 13:04:24,@MrumaDrive I really appreciate you bro https://t.co/ugKhJTSkvY,0,0,MrumaDrive
2019-10-29 07:44:00,@AdvBarryRoux https://t.co/Mgjq7O1GJI,0,0,AdvBarryRoux
2019-10-25 13:30:36,@AdvBarryRoux Hi I'm..... https://t.co/X3rEufhgVi,0,0,AdvoBarryRoux
2019-10-23 14:55:32,@missZwanga Who fucked your heart so bad https://t.co/TQOafPjlev,1,0,missZwanga
2019-10-14 04:08:33,@Anele Anele what was your plan? https://t.co/MXAZRCDXlU,3,0,Anele
2019-10-09 20:58:26,@missZwanga Khavha muniwe makhulu https://t.co/uiy4r2xLQf,1,0,missZwanga
