created_at,text,favorites,retweets,in_reply_to
2016-05-22 15:38:32,I notice EVERYTHING. I just act like I don't.,0,0,
2016-04-01 19:40:49,"You are what you do, not what you say you'll do. #actionspeakslouder",0,0,
2016-03-06 10:37:11,Dear God... https://t.co/9HD8Tp13wu,0,0,
2016-03-05 21:00:57,"The strongest people aren't always the people who win, but the people who don't give up when they lose.",0,0,
2016-03-03 02:23:00,I don’t think people understand how stressful it is to explain what’s going on in your head when you don’t even understand it yourself.,0,0,
2016-03-02 20:21:47,"Life is not about waiting for the storm to pass, It is about learning to dance in the rain.",0,0,
2016-02-22 13:13:55,"Let us keep a place for Christ in our lives, let us care for one another and let us be loving custodians of creation. -#Pope Francis.",0,0,
2016-01-17 08:24:41,"Isn't it weird that we have one hand that knows how to do everything and then one hand that just sits there like ""idk how to hold a pencil""",0,0,
2016-01-12 09:09:44,"Everyone comes into your life for a reason, for good or bad, they may shape us, break us, but in the end they make us who we are.",0,0,
2016-01-12 03:44:56,6 + 2 = 8 but so does 5 + 3. The way you do things is not always the only way to do them. Respect other people's way of thinking.,0,0,
2016-01-11 14:26:52,Prayer is the most important conversation of the day.,0,0,
2016-01-11 05:23:08,don’t start an argument with a girl because they all have 45030194 GB memories and will bring up something you did at 14:27PM on 23/04/2008,0,0,
2016-01-09 05:29:47,@God_Loved: In God we will be strong - Psalm 60:12,0,0,God_Loved
2015-12-29 16:04:16,@ewnupdates: AbaThembu King fails to persuade Justice Minister https://t.co/MFzsWpB5PB https://t.co/71GezoVsRo,0,0,ewnupdates
2015-12-27 06:24:33,"Believe with your eyes, not with your ears.",0,0,
2015-11-28 21:35:16,"God will not allow a trial to come into your life unless He has a purpose. He doesn't send the storms, but He uses them.",0,0,
2015-11-28 16:09:52,"God sometimes takes us into troubled waters not to drown us, but to cleanse us.",0,0,
2015-11-22 19:16:39,The happiness of your life depends on the quality of your thoughts.,0,0,
2015-11-22 05:24:42,Refuse to be fearful about what will happen to you. God is faithful and He will take care of you if you trust Him.,0,0,
2015-11-09 03:35:25,Everyday is a blessing. #morning_everyone.,0,0,
2015-11-08 22:20:50,Sports: Experience tells you what to do; confidence allows you to do it.,0,0,
2015-11-05 07:13:41,Stars can't shine without darkness.,0,0,
2015-11-01 13:59:24,God's promises are like the stars; the darker the night the brighter they shine.,0,0,
2015-10-24 20:33:07,"No matter what goes on in your life, always remember that your current conditions do not reflect your ultimate potential!",0,0,
2015-10-22 18:57:32,@kagisosebudi: To everyone who couldn't afford textbooks #FeesMustFall,0,0,kagisosebudi
