created_at,text,favorites,retweets,in_reply_to
2020-01-05 14:38:13,@koko_matshela @EFFSouthAfrica Only if he knew that EFF collapsed a bank that was black owned..,20,2,koko_matshela
2020-01-05 06:55:38,RT @HopeWellEH: The true definition of a ZULU MAN😂😂😂😂😂😂😂😂😂😂😂 https://t.co/mvxangrnWk,0,754,
2020-01-03 06:09:17,"RT @Earlsimxx: Backing out of tight spots in a thick 🍑 car - BMW self park mode 😌

2020 X6 M50i
4.4L V8 twin turbo
523hp, 750nm
0-100km/h:…",0,277,
2020-01-02 20:38:22,"RT @Lera_Mashigo: Im Looking for a house to buy preferably 4 bedrooms all ensuite, with double garage should be in a prime location of Jobu…",0,1455,
2020-01-01 23:51:21,"RT @UcheDandyMUFC: If I ever get to meet Lingard 😑

Me: https://t.co/g4CVPx76Ef",0,502,
2019-12-31 21:46:28,RT @SiPhZz: One last view at this before the year ends!! 💥💥💥 https://t.co/zMPCyQMJFk,0,9,
2019-12-31 16:39:25,"@BMW_SA The M sport exhaust system, carbon mirrors, interior design....it's looks phashasha👌👌 and obvious the performance.",0,0,BMW_SA
2019-12-30 18:59:50,"RT @BMW_SA: As 2019 comes to close, we look back at a year filled with #SheerDrivingPleasure. 

What was your favourite 2019 BMW? https://t…",0,13,
2019-12-30 18:58:52,@BMW_SA I am waiting for X6 M Competition.,0,0,BMW_SA
2019-12-29 05:24:09,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/RWsJHMnHst,1,0,
2019-12-25 09:31:28,RT @dbn_spotter: The @BMW_SA M8 Gran Coupé is just pure magnificence. #dbnspotter #bmwrepost https://t.co/6bPu7pnSkS,0,18,
2019-12-24 20:39:43,@kay_raps @robzinterris Lifa Gxotshe,0,0,kay_raps
2019-12-24 20:38:52,@kay_raps @robzinterris Jacob Tsiseve,0,0,kay_raps
2019-12-22 16:04:49,@OtsileJT @BMW @BMW_SA Come 2020..,0,0,OtsileJT
2019-12-12 13:54:43,"RT @ennockmartZA: I was born to create 🖤 100 RT's and I will share the final rendition 🙌🏾

My name is Ennock Mlangeni. YOU DON'T KNOW ME YE…",0,8966,
2019-12-12 11:19:55,@uWelizwe Jacob Zuma.,0,0,zwelihle2019
2019-12-11 16:15:58,@koko_matshela @BrianMbm1 And mulfuctioning Power Stations.,2,0,mahlantd
2019-12-11 16:13:47,@koko_matshela @BrianMbm1 And hence we are sitting with R450 billion debt.,3,0,koko_matshela
