created_at,text,favorites,retweets,in_reply_to
2016-10-08 18:15:10,"I missed the last 20min of the game, did the Boks win?",3,3,
2016-10-01 18:53:51,Uncle? Go to bed and we'll talk about this tomorrow. You are gonna embarrass yourself with tweets like this. https://t.co/kaq96G5JG4,2,1,
2016-10-01 18:30:33,"Sad to see SA Rugby community being so negative. Nobody's saying every is 100%, but let's celebrate the win &amp; focus on the positive #Morras",2,1,
2016-10-01 18:25:57,I'll hold you guys to this. A captain performing and a 10 dictating changes the whole vibe in the camp. Capacity cr… https://t.co/8qLToAuUob,3,1,
2016-10-01 16:57:52,"Hougaard. Steyn. Mvovo. de Jongh. Mapoe. Willie. Lambie.
This back-line can win the AB's next week. Redlinghuys &amp; Kitshoff to start.",2,0,
2016-10-01 16:51:24,Morne Steyn + Loftus = Masterclass 🇿🇦,2,0,
2016-10-01 16:32:41,Wayne Barnes won't be able to spot a knock on in a volleyball match #JacoJolVleul,1,0,
2016-10-01 16:07:15,"Eben: Welcome to Roftus mate.
Keravi: Isn't it Loftus mate?
Eben: You guys having a rough time here, no wins hey, t… https://t.co/04BFe8hGNv",0,1,
2016-10-01 16:02:46,This Boks team has the potential to beat the All Blacks next week. Sharpen up inside defender. Get a capacity crowd. Could be interesting.,1,0,
2016-10-01 16:00:55,"Best half by far in 2016. Strauss is having a cracker, FLO is making t/o, Paige service is crisp, Morras is dictating, Wings getting ball.",0,0,
2016-10-01 10:53:13,"The last time the @Springboks lost at Loftus, Facebook had just launched &amp; Pluto was still a planet. #RugbyChampionship #RSAvAUS",0,0,
2016-10-01 07:14:26,Cheslin Kolbe showing he is just as capable of scoring of the field. https://t.co/eOrkssqXpn,2,1,
2016-10-01 06:34:30,Screw fees must fall. Can we all agree that All Blacks should fall. Go Los Pumas.,7,7,
2016-10-01 05:40:58,Who do think will be the finalists for the Currie Cup final 2016?,3,4,
2016-09-30 18:51:37,Quinton de Kock really is a special cricket player. He has always been an talented batsman. But his keeping has improved immensely.,1,0,
2016-09-30 18:46:52,"What do you call a Aussie with a 100?
A bowler.
#DeKock",1,0,
2016-09-30 18:44:36,"Interesting last 10 min awaits us in this Clash between Boland and WP.
Some Sharks players may have to cancel their holiday plans.",0,1,
2016-09-30 15:27:57,"I agree. Goosen was an example of to much to early. But sometimes you get a special player, like Bosch. Who will wi… https://t.co/FOCkTXzwOv",0,0,
2016-09-30 15:23:07,"Curwin Bosch, I like this kid. I'd give him a go in Green and Gold as early as next year if only his defense was better.",1,0,
2016-09-30 12:15:37,They don't. At least not on a Friday like this #SuperSportFriday #FeesMustFall https://t.co/YnLqS7a16a,0,0,
2016-09-30 12:14:36,I think a fair share of Protea supporters were busy writing a tweet slandering Parnell but after the wicket changed it to Parnell you beauty,0,0,
2016-09-30 11:51:33,Rustig oom Kobus. Let's get behind our boytjies. But definitely would love to see R JvR + Venter pairing up in the… https://t.co/OQCjpIVq1i,1,1,
2016-09-30 06:33:57,"BREAKING NEWS:
Lambie injury woes continue. He will not play tomorrow against Australia. Earl Rose has been called up #HMJokes",1,0,
2016-09-30 06:19:16,Keen for all SA vs Aus matches to start. Let's send back those 'yeah mate' fellas back down under with their tail between their legs.,0,0,
2016-09-29 22:06:22,"I back AC's Backs selection 100%.
Calm &amp; Collected at 10 + 15, plus much needed experience. Solid defensive midfield. Experience wins tests.",0,0,
2016-09-27 14:25:03,"Pollard and AB both above ordinary talented but not managing their bodies, is making them sit on the side line. You are human not a machine.",2,1,
2016-09-27 11:35:19,The Bok team for Saturday should be interesting. We are probably going to see a much more experience side and I think that'll be a good move,3,0,
2016-09-25 18:54:39,"What's the difference between Arsenal and a book?
A book has a title. https://t.co/AHOeL8b9zY",1,1,
2016-09-25 10:23:05,"Temba Bavuma, what a pleasure watching this class player #Century #BlackTendulkar",3,2,
2016-09-25 09:54:43,"Agree that FLO is not what he used to be. And I do rate Kwagga, but in my opinion Roelof Smit should be the Boks fe… https://t.co/0uJah3aURy",1,0,
2016-09-25 09:45:45,Trying to figure out why Rohan Janse van Rensburg is not in the Bok squad #TrustingStick https://t.co/Zrt0LUMAuA,2,2,
2016-09-25 09:42:54,"CJ Stander injured Lambie, which provided us with Jantjies at 10 for Boks. Proteas klap Ireland, please #MomentumOneDayCup",1,0,
2016-09-25 09:41:10,The streak is over. https://t.co/gljipNJ1lf,0,0,
2016-09-24 18:24:34,Google Rohan Janse van Rensburg. It's the oak who kept Mnisi on the bench the whole super rugby season. Not sure if… https://t.co/dLoOsxuWzc,3,2,
2016-09-23 18:54:52,"A bit late for a April Fools Day joke, but it is rather funny #JujuJokes https://t.co/4SXOpEgUfc",0,1,
2016-09-23 18:53:20,"Of Hansen indicates there's hope, I believe him. I mean something this man says at halftime to the AB works. So his… https://t.co/e5WcyQP61W",0,0,
2016-09-23 18:48:56,Clinton Swart is pure class. Can't see him staying another season in Kimberley.,0,0,
2016-09-23 18:44:29,Cheetahs still unbeaten. Well done players &amp; coaches. Especially F. Smit with his long term vision. Hope the Boks produce something similar.,0,0,
2016-09-23 18:43:49,What Huw Jones' shoulders will look at the end of the season after carrying WP all year #BinneBuite https://t.co/5BAXRGQCGj,0,0,
2016-09-23 13:41:51,You may have your opinion on Bjorn Basson. But he is probably the best arial rugby player I've seen.,0,0,
2016-09-23 13:21:37,Roelof Smit should be the Boks 6 come 2019 RWC. This oak gets over the ball so quick and strong. FLO &amp; Kriel doesn't make enough turnovers.,0,0,
2016-09-23 13:12:27,"I know seeing the Boks lose in pathetic form is hard to watch. But it's part of the process, the Nation must focus on 2019🇿🇦",0,0,
2016-09-22 19:23:56,"So.. Angelina Jolie is available again? 
What a time to be alive.",0,0,
2016-09-22 17:57:20,How on earth is there still no Rohan Janse van Rensburg in the Bok squad? #PickForm,0,0,
2016-09-21 15:02:49,"My back line with the call ups:
Hougaard; Lambie; Habana; De Allende; Mapoe; le Roux; Kriel.
This is a good mix between reliable &amp; exciting.",0,0,
2016-09-21 14:58:36,Willie and Lambie call up is a good decision the team lacks experience and leadership.,0,0,
2016-09-20 21:44:48,No. The world is in chaos cuz NZ wins every game with 50points and their coach said that they are in a building face https://t.co/35Qg42AaiU,0,0,
2016-09-20 21:36:08,"Stick is not coaching our world class back line effectively, so instead of getting a new coach, select EP players for boks #QuickFix",2,0,
2016-09-20 21:18:17,Brad and Angelina getting divorced? Never thought they would stay together after nearly killing each other #MrAndMrsSmith #Bradgelina,0,0,
2016-09-19 13:45:52,"Quinton de Kock may not have a matric certificate, but he now has a wedding certificate #winning",0,0,
2016-09-19 13:36:38,"How is Kerr-Barlow in the All Black squad ahead of Webber? 
He must have a big penis because I can't think of any other explanation.",0,0,
2016-09-18 19:15:45,At this trend the Springboks will find them behind Bafana on the National Pride log.,0,1,
2016-09-18 19:06:56,"Ek sien minder uit vir die week, as wat spanne uit sien vir die vlug na NZ. https://t.co/lUXWgt1J3r",0,0,
2016-09-18 19:02:10,"SA has world class backs, but are coached by a not so world class backs coach #StickMustFall",0,0,
2016-09-18 14:31:23,"Na Elton se performance die naweek, moet AC dit oorweeg. https://t.co/XhgzDIq0RW",3,2,
