created_at,text,favorites,retweets,in_reply_to
2019-10-02 06:15:06,@TelkomZA I get a msg from Telkom that they find no 'unusual data depletion' on my account....and this month again… https://t.co/aMQqznfsjt,0,0,TelkomZA
2019-09-19 14:27:44,"@KFMza Just listening to all this crap about dropping animal references from everyday sayings.......WTF, there are… https://t.co/hPBTH6tuAU",0,0,KFMza
2019-09-17 18:02:31,@TelkomZA still waiting on telkom to explain how was use 54GB ion the first day of every month then only 100GB for… https://t.co/iWxsPirg8E,0,0,TelkomZA
2019-09-02 12:58:24,@TelkomZA Can Telkom explain how my 50GB carried over data is used up in 1 day on the first of the month...REALLY?!… https://t.co/9nLTNruMIg,0,0,TelkomZA
2019-08-04 07:32:45,@DStv I need someone from dstv to tell me why my decoder only gets random sport on catchup???!!! some weekends one… https://t.co/UwVK7HpQ4J,0,0,DStv
2019-07-19 19:03:44,@MTNza .......'this number is no longer valid on the MTN network' !!!???? IT SHOULD NEVER HAVE BEEN THERE TO START… https://t.co/jWlMVJc67A,0,0,MTNza
2019-07-19 19:01:56,@MTNza ...the latest debacle from MTN them blows my mind!?!?.....firstly they port my number from CellC WITHOUT my… https://t.co/IxUopLl3ah,0,0,MTNza
2019-07-04 09:05:02,"@TelkomZA Not only does Telkom not give me the speed advertised and what I am paying for, they now 'steal' my carry… https://t.co/9oxGWxQo2p",0,0,TelkomZA
2019-07-01 20:44:19,@TelkomZA got a call from Telkom to thank me for being a loyal customer...had to tell them it’s only cause they loc… https://t.co/EbuJno9SS4,0,0,TelkomZA
2019-06-24 14:12:29,@F1 YAWN.......this shit can't get any more BORING!!...how much prestige can a 'drivers championship' hold when you… https://t.co/jj4LfyD82h,0,0,F1
2019-06-22 21:04:51,"@F1 “Who’ll end up where?”....really???? I’ll tell you, Mercedes 1 &amp; 2.....it’s so predictable it’s BORING!!!! What… https://t.co/KuGNY78MDA",1,0,F1
2019-06-22 21:01:09,"@F1 got a new career...psychic! Next race weekend headlines - hamilton leads Mercedes 1-2 in Friday practice, hamil… https://t.co/qkykEU726t",0,0,F1
